Date,Maximum Temperature (degF),Precipitation (in),Mean Temperature (degF),Minimum Temperature (degF),Snowfall (in),Snow Depth (in)
1/7/2014,30,0,25,20,0,14
1/8/2014,29,,25.5,22,,14
1/9/2014,32,,29,26,0.2,14
1/10/2014,28,,25,22,0.1,14
1/11/2014,24,,19.5,15,,14
1/12/2014,17,0.04,13.5,10,1,14
1/13/2014,21,0.02,18,15,0.1,14
1/14/2014,35,0.08,27,19,0.8,15
1/15/2014,36,0.25,32,28,3.6,18
1/16/2014,33,0.15,30.5,28,1.8,20
1/17/2014,46,0.05,38,30,0,18
1/18/2014,42,0.04,38.5,35,0,17
1/19/2014,36,,32,28,,17
1/20/2014,33,0,30,27,0,17
1/21/2014,45,,36,27,0,16
1/22/2014,38,0.15,34.5,31,0,15
1/23/2014,48,0.5,41.5,35,0,12
1/24/2014,47,0.01,41,35,0,9
1/25/2014,38,0.07,35.5,33,0,9
1/26/2014,46,0,39,32,0,8
1/27/2014,50,,40.5,31,0,7
1/28/2014,44,,37,30,0,5
1/29/2014,33,0,28,23,0,5
1/30/2014,29,0,23.5,18,0,5
1/31/2014,25,0,19.5,14,0,5
2/1/2014,24,0,18,12,0,5
2/2/2014,25,0,18.5,12,0,5
2/3/2014,27,0,21.5,16,0,5
2/4/2014,29,0,22.5,16,0,5
2/5/2014,25,0,17.5,10,0,5
2/6/2014,25,0.01,16.5,8,0.4,5
2/7/2014,29,0,26,23,0,5
2/8/2014,23,0,19.5,16,0,5
2/9/2014,23,0,16.5,10,0,5
2/10/2014,22,0,16.5,11,0,5
2/11/2014,14,0,7,0,0,5
2/12/2014,13,0.02,8,3,0.3,5
2/13/2014,11,0.02,6.5,2,0.4,6
2/14/2014,28,,17.5,7,,6
2/15/2014,23,0.03,18,13,0.4,6
2/16/2014,21,0.01,15.5,10,,6
2/17/2014,24,0.01,18,12,0.3,6
2/18/2014,25,0.16,20,15,3.1,9
2/19/2014,25,0.16,22,19,4.7,13
2/20/2014,24,0.01,17,10,0.3,13
2/21/2014,19,0,12,5,0,12
2/22/2014,27,0,22,17,0,12
2/23/2014,28,0,20,12,0,11
2/24/2014,27,0,18,9,0,11
2/25/2014,27,0,20,13,0,11
2/26/2014,35,0,30,25,0,11
2/27/2014,49,,39.5,30,0,9
2/28/2014,41,0,35,29,0,8
3/1/2014,38,0,30.5,23,0,6
3/2/2014,37,0,28,19,0,6
3/3/2014,32,0,26.5,21,0,6
3/4/2014,37,,33.5,30,,6
3/5/2014,36,0.06,29,22,2.4,8
3/6/2014,28,,22,16,,8
3/7/2014,28,0,21.5,15,0,8
3/8/2014,30,0,17.5,5,0,7
3/9/2014,26,0,16.5,7,0,7
3/10/2014,37,,27,17,,7
3/11/2014,42,0.18,35.5,29,0,7
3/12/2014,38,0.05,33.5,29,,7
3/13/2014,38,0.01,33.5,29,0,7
3/14/2014,44,0.41,32,20,5.7,12
3/15/2014,25,0.05,19,13,0.9,12
3/16/2014,26,0.02,21.5,17,1.8,12
3/17/2014,33,,27,21,,9
3/18/2014,36,0.01,30.5,25,0.1,9
3/19/2014,36,0,30,24,0,8
3/20/2014,36,0,24,12,0,8
3/21/2014,38,0,29,20,0,8
3/22/2014,39,0,30,21,0,8
3/23/2014,41,0,29.5,18,0,7
3/24/2014,39,0,27.5,16,0,7
3/25/2014,42,0,29,16,0,7
3/26/2014,40,0,30.5,21,0,7
3/27/2014,38,0,28,18,0,7
3/28/2014,37,0,27.5,18,0,7
3/29/2014,38,0,28,18,0,7
3/30/2014,39,0,28.5,18,0,7
3/31/2014,39,0,29,19,0,6
4/1/2014,41,0,29.5,18,0,6
4/2/2014,41,0,31.5,22,0,5
4/3/2014,41,0,30.5,20,0,5
4/4/2014,43,0,35.5,28,0,4
4/5/2014,44,,37,30,0,4
4/6/2014,47,,40,33,0,3
4/7/2014,41,0.08,35,29,0.2,2
4/8/2014,31,,26.5,22,0.2,2
4/9/2014,33,0,25,17,0,2
4/10/2014,35,0,26,17,0,2
4/11/2014,40,0,30.5,21,0,2
4/12/2014,39,,35,31,,1
4/13/2014,46,0,39,32,0,1
4/14/2014,49,0,38.5,28,0,
4/15/2014,47,,39,31,0,0
4/16/2014,50,,42,34,0,0
4/17/2014,51,0,41.5,32,0,0
4/18/2014,50,0,43,36,0,0
4/19/2014,54,0,42.5,31,0,0
4/20/2014,55,0,42.5,30,0,0
4/21/2014,55,0,45,35,0,0
4/22/2014,56,0,43.5,31,0,0
4/23/2014,48,,41.5,35,0,0
4/24/2014,51,0,41,31,0,0
4/25/2014,49,0,43.5,38,0,0
4/26/2014,48,0,41.5,35,0,0
4/27/2014,56,0,45,34,0,0
4/28/2014,55,0,49,43,0,0
4/29/2014,55,0,46.5,38,0,0
4/30/2014,58,0,48,38,0,0
5/1/2014,64,0,49,34,0,0
5/2/2014,69,0,53,37,0,0
5/3/2014,67,0,54.5,42,0,0
5/4/2014,64,0,51.5,39,0,0
5/5/2014,55,0,48.5,42,0,0
5/6/2014,50,0.2,47,44,0,0
5/7/2014,58,0,51,44,0,0
5/8/2014,60,0,51.5,43,0,0
5/9/2014,64,0,51.5,39,0,0
5/10/2014,66,0,56,46,0,0
5/11/2014,69,0,55,41,0,0
5/12/2014,53,0,46,39,0,0
5/13/2014,64,0,51.5,39,0,0
5/14/2014,71,0,58.5,46,0,0
5/15/2014,65,0,55,45,0,0
5/16/2014,70,0,55,40,0,0
5/17/2014,72,0,58.5,45,0,0
5/18/2014,63,0,54.5,46,0,0
5/19/2014,59,0,51.5,44,0,0
5/20/2014,64,0,53.5,43,0,0
5/21/2014,65,0,51,37,0,0
5/22/2014,66,0,56,46,0,0
5/23/2014,65,0,54,43,0,0
5/24/2014,63,0,55,47,0,0
5/25/2014,56,0,49.5,43,0,0
5/26/2014,59,0,51,43,0,0
5/27/2014,55,0.05,50.5,46,0,0
5/28/2014,60,,55,50,0,0
5/29/2014,57,,52.5,48,0,0
5/30/2014,57,0.09,53,49,0,0
5/31/2014,53,0.12,46.5,40,0,0
6/1/2014,50,0.2,46.5,43,0,0
6/2/2014,59,0.02,50,41,0,0
6/3/2014,66,0,53,40,0,0
6/4/2014,70,0,57.5,45,0,0
6/5/2014,66,0,58.5,51,0,0
6/6/2014,63,0,54,45,0,0
6/7/2014,61,0,56.5,52,0,0
6/8/2014,61,0.02,55.5,50,0,0
6/9/2014,60,0.42,52,44,0,0
6/10/2014,53,0.52,49.5,46,0,0
6/11/2014,59,0,52.5,46,0,0
6/12/2014,58,,50.5,43,0,0
6/13/2014,56,0.03,51.5,47,0,0
6/14/2014,60,0.01,54.5,49,0,0
6/15/2014,61,,55.5,50,0,0
6/16/2014,58,,53,48,0,0
6/17/2014,63,,55.5,48,0,0
6/18/2014,64,,57,50,0,0
6/19/2014,65,0,58,51,0,0
6/20/2014,67,0.19,58,49,0,0
6/21/2014,56,0.49,52,48,0,0
6/22/2014,64,0.03,56,48,0,0
6/23/2014,65,,56.5,48,0,0
6/24/2014,66,,58,50,0,0
6/25/2014,57,0.68,53,49,0,0
6/26/2014,56,0.46,52,48,0,0
6/27/2014,59,0.08,54,49,0,0
6/28/2014,69,0,58.5,48,0,0
6/29/2014,72,0.06,63.5,55,0,0
6/30/2014,68,,60.5,53,0,0
7/1/2014,65,,59.5,54,0,0
7/2/2014,72,0,62,52,0,0
7/3/2014,76,0,67,58,0,0
7/4/2014,75,0,65.5,56,0,0
7/5/2014,73,0,66,59,0,0
7/6/2014,60,0.07,58,56,0,0
7/7/2014,65,,59,53,0,0
7/8/2014,67,0,62,57,0,0
7/9/2014,62,0.12,57,52,0,0
7/10/2014,58,0.52,56,54,0,0
7/11/2014,66,0.02,60,54,0,0
7/12/2014,69,,62.5,56,0,0
7/13/2014,67,0.12,58,49,0,0
7/14/2014,65,0,58.5,52,0,0
7/15/2014,69,,58.5,48,0,0
7/16/2014,69,0,62,55,0,0
7/17/2014,65,0,60.5,56,0,0
7/18/2014,66,0,60.5,55,0,0
7/19/2014,69,0.09,62,55,0,0
7/20/2014,69,0.07,60,51,0,0
7/21/2014,71,0,62,53,0,0
7/22/2014,66,,58,50,0,0
7/23/2014,68,,62,56,0,0
7/24/2014,68,1.15,61.5,55,0,0
7/25/2014,60,0.31,56.5,53,0,0
7/26/2014,69,0,60.5,52,0,0
7/27/2014,69,,60,51,0,0
7/28/2014,66,0.52,59.5,53,0,0
7/29/2014,69,0,60,51,0,0
7/30/2014,74,0,64,54,0,0
7/31/2014,67,0,61,55,0,0
8/1/2014,66,0,60.5,55,0,0
8/2/2014,68,0,60,52,0,0
8/3/2014,71,0.07,63.5,56,0,0
8/4/2014,63,0.13,59,55,0,0
8/5/2014,67,0,59,51,0,0
8/6/2014,68,0,62.5,57,0,0
8/7/2014,65,0.01,60,55,0,0
8/8/2014,61,,58,55,0,0
8/9/2014,67,0.02,60.5,54,0,0
8/10/2014,69,0.04,62.5,56,0,0
8/11/2014,69,0.01,63,57,0,0
8/12/2014,62,0.08,58,54,0,0
8/13/2014,65,0.29,60,55,0,0
8/14/2014,65,0.02,59,53,0,0
8/15/2014,64,0.12,58.5,53,0,0
8/16/2014,64,0.01,58.5,53,0,0
8/17/2014,65,,58.5,52,0,0
8/18/2014,67,0,60,53,0,0
8/19/2014,69,0,60,51,0,0
8/20/2014,62,0,57,52,0,0
8/21/2014,68,,61,54,0,0
8/22/2014,64,,57.5,51,0,0
8/23/2014,62,,56,50,0,0
8/24/2014,59,0.46,56,53,0,0
8/25/2014,61,0.54,56.5,52,0,0
8/26/2014,63,0.01,55.5,48,0,0
8/27/2014,61,0.16,57,53,0,0
8/28/2014,58,0.39,55,52,0,0
8/29/2014,62,0.16,56,50,0,0
8/30/2014,62,0,52.5,43,0,0
8/31/2014,61,0,51.5,42,0,0
9/1/2014,60,0,48.5,37,0,0
9/2/2014,65,0,60.5,56,0,0
9/3/2014,64,,55,46,0,0
9/4/2014,51,0.55,47.5,44,0,0
9/5/2014,54,0.43,51,48,0,0
9/6/2014,62,0,55.5,49,0,0
9/7/2014,61,0,51.5,42,0,0
9/8/2014,58,,51.5,45,0,0
9/9/2014,56,0.24,53.5,51,0,0
9/10/2014,57,0.47,53.5,50,0,0
9/11/2014,66,0.01,55.5,45,0,0
9/12/2014,61,0.09,57,53,0,0
9/13/2014,61,0.57,56,51,0,0
9/14/2014,61,0.09,55,49,0,0
9/15/2014,55,0.38,52.5,50,0,0
9/16/2014,57,0.04,53,49,0,0
9/17/2014,53,0.02,50.5,48,0,0
9/18/2014,50,0.33,49,48,0,0
9/19/2014,53,0.69,51,49,0,0
9/20/2014,59,0.1,52.5,46,0,0
9/21/2014,57,,51,45,0,0
9/22/2014,53,0,45,37,0,0
9/23/2014,56,0,47,38,0,0
9/24/2014,55,0,44,33,0,0
9/25/2014,56,0,44,32,0,0
9/26/2014,57,0,44.5,32,0,0
9/27/2014,57,0,48.5,40,0,0
9/28/2014,55,0,44.5,34,0,0
9/29/2014,52,0,43,34,0,0
9/30/2014,51,0,41.5,32,0,0
10/1/2014,51,0,40,29,0,0
10/2/2014,50,,41,32,,0
10/3/2014,45,0.04,41.5,38,0,0
10/4/2014,44,,41,38,0,0
10/5/2014,44,0,40,36,0,0
10/6/2014,44,0,38.5,33,0,0
10/7/2014,40,0,33,26,0,0
10/8/2014,37,0,31,25,0,0
10/9/2014,40,,33.5,27,,0
10/10/2014,40,0.25,37,34,,0
10/11/2014,45,0.56,42,39,0,0
10/12/2014,43,0,40,37,0,0
10/13/2014,50,0,43.5,37,0,0
10/14/2014,46,0,38.5,31,0,0
10/15/2014,44,0,36.5,29,0,0
10/16/2014,43,,39.5,36,0,0
10/17/2014,49,0,41.5,34,0,0
10/18/2014,45,0,37.5,30,0,0
10/19/2014,42,0.07,34.5,27,0.6,0
10/20/2014,38,0.28,35.5,33,3.2,1
10/21/2014,41,,35.5,30,0,3
10/22/2014,40,0,32.5,25,0,1
10/23/2014,39,0,31,23,0,1
10/24/2014,36,,30,24,,1
10/25/2014,37,0,31,25,0,1
10/26/2014,33,0,27.5,22,0,1
10/27/2014,31,0,26,21,0,1
10/28/2014,32,,25,18,,1
10/29/2014,30,0,24,18,0,1
10/30/2014,30,0,24,18,0,1
10/31/2014,30,,23,16,,1
11/1/2014,35,,31.5,28,,1
11/2/2014,37,,33.5,30,0,1
11/3/2014,36,0,32,28,0,1
11/4/2014,36,0,27.5,19,0,1
11/5/2014,35,0,31,27,0,1
11/6/2014,33,0,26.5,20,0,1
11/7/2014,38,0,34,30,0,1
11/8/2014,41,,34.5,28,0,1
11/9/2014,47,0,39.5,32,0,1
11/10/2014,48,,40.5,33,0,0
11/11/2014,45,,39.5,34,0,0
11/12/2014,47,0,40.5,34,0,0
11/13/2014,37,0,31.5,26,0,0
11/14/2014,36,0,30,24,0,0
11/15/2014,31,0,26.5,22,0,0
11/16/2014,33,0.02,28,23,,0
11/17/2014,38,0.01,34,30,,0
11/18/2014,47,,37,27,0,0
11/19/2014,46,0.19,38.5,31,0,0
11/20/2014,35,0,33,31,0,0
11/21/2014,37,0,34.5,32,0,0
11/22/2014,36,,32.5,29,,0
11/23/2014,33,0,30,27,0,0
11/24/2014,33,,28,23,,0
11/25/2014,37,0.01,31.5,26,0.1,
11/26/2014,32,,25,18,,
11/27/2014,24,0,19,14,0,
11/28/2014,24,0,22.5,21,0,
11/29/2014,26,0.16,22,18,2.1,2
11/30/2014,28,,24,20,,2
12/1/2014,24,0.12,21.5,19,2.2,5
12/2/2014,39,0.16,31.5,24,0.8,4
12/3/2014,35,0.03,30.5,26,1.3,5
12/4/2014,30,,27,24,,5
12/5/2014,27,0,25,23,0,4
12/6/2014,30,,25,20,,4
12/7/2014,37,0,33.5,30,0,4
12/8/2014,39,,35,31,0,4
12/9/2014,36,0.01,31.5,27,0,4
12/10/2014,34,0,27,20,0,4
12/11/2014,30,0,23,16,0,4
12/12/2014,27,,20.5,14,,4
12/13/2014,29,0,21,13,0,4
12/14/2014,34,0,31,28,,4
12/15/2014,35,,31,27,0,4
12/16/2014,35,,31,27,0,4
12/17/2014,36,0.01,29,22,0,4
12/18/2014,26,0,20,14,0,4
12/19/2014,26,0,20.5,15,0,4
12/20/2014,27,0,23,19,,4
12/21/2014,28,0.03,24,20,0.8,5
12/22/2014,28,0.02,26.5,25,0.5,5
12/23/2014,29,,26,23,,5
12/24/2014,28,,25.5,23,,5
12/25/2014,38,0.18,32,26,1.6,7
12/26/2014,37,,34,31,,6
12/27/2014,32,0,26.5,21,0,6
12/28/2014,28,,25,22,,6
12/29/2014,32,0,29.5,27,0,6
12/30/2014,43,0.05,36.5,30,0.3,6
12/31/2014,43,0.07,38.5,34,0,4
1/1/2015,35,,31,27,,4
1/2/2015,32,0,24,16,0,4
1/3/2015,24,0,17,10,0,4
1/4/2015,16,0,9.5,3,0,4
1/5/2015,15,,9.5,4,,4
1/6/2015,16,,9,2,,4
1/7/2015,23,0,15.5,8,0,4
1/8/2015,31,0.01,27,23,,4
1/9/2015,34,,31.5,29,0,4
1/10/2015,35,0,31.5,28,0,4
1/11/2015,33,0,28.5,24,0,4
1/12/2015,36,0,29.5,23,0,4
1/13/2015,46,0,38,30,0,4
1/14/2015,37,,32,27,,4
1/15/2015,42,,38,34,0,4
1/16/2015,43,0,36.5,30,0,4
1/17/2015,34,0,30,26,0,4
1/18/2015,31,0.02,28,25,0.1,4
1/19/2015,30,0,25,20,0,4
1/20/2015,27,0,20.5,14,0,4
1/21/2015,19,0,13.5,8,0,4
1/22/2015,20,0.12,13,6,2.2,4
1/23/2015,21,0.15,19,17,2.5,6
1/24/2015,18,,11.5,5,0.1,9
1/25/2015,13,,4,-5,,9
1/26/2015,7,,1.5,-4,,8
1/27/2015,12,,9.5,7,,8
1/28/2015,14,0,9.5,5,0,8
1/29/2015,22,0.05,13,4,0.9,7
1/30/2015,20,,13.5,7,0.1,8
1/31/2015,19,0,12,5,0,7
2/1/2015,26,0,15.5,5,0,7
2/2/2015,21,,13.5,6,,7
2/3/2015,16,0,9.5,3,0,7
2/4/2015,16,,9.5,3,,7
2/5/2015,28,0,14,0,0,7
2/6/2015,24,0,19.5,15,0,6
2/7/2015,16,0,12.5,9,0,5
2/8/2015,13,0,8.5,4,0,5
2/9/2015,17,0,12.5,8,0,5
2/10/2015,28,0,22,16,0,5
2/11/2015,33,0,28.5,24,0,5
2/12/2015,31,0.13,28,25,0.9,5
2/13/2015,29,0,24,19,0,5
2/14/2015,33,,28.5,24,,5
2/15/2015,36,,32,28,0,5
2/16/2015,44,0.02,38,32,,4
2/17/2015,44,0,39,34,0,4
2/18/2015,37,0,31.5,26,0,4
2/19/2015,34,0,27.5,21,0,4
2/20/2015,35,0.01,29,23,,4
2/21/2015,36,0.4,34.5,33,,4
2/22/2015,47,0.01,40.5,34,0,3
2/23/2015,43,0.11,39,35,0,2
2/24/2015,40,,35,30,,2
2/25/2015,36,0,30,24,0,1
2/26/2015,30,0,25,20,0,1
2/27/2015,29,0,21.5,14,0,1
2/28/2015,34,0.04,30.5,27,0.2,1
3/1/2015,30,,26,22,,1
3/2/2015,34,0,28,22,0,1
3/3/2015,37,0.01,33.5,30,0.2,1
3/4/2015,38,,35,32,,1
3/5/2015,40,0.03,36,32,0,1
3/6/2015,41,0.2,36.5,32,0,
3/7/2015,42,0.51,36,30,,
3/8/2015,33,,27,21,,
3/9/2015,25,0,18.5,12,0,
3/10/2015,20,0,14,8,0,
3/11/2015,18,0,11,4,0,
3/12/2015,16,0,9,2,0,
3/13/2015,15,0,8.5,2,0,
3/14/2015,14,0,6,-2,0,0
3/15/2015,14,0.01,7,0,,
3/16/2015,41,0.01,27.5,14,,
3/17/2015,49,0,39,29,0,
3/18/2015,41,0,36,31,0,
3/19/2015,41,0,35,29,0,0
3/20/2015,45,0,35.5,26,0,0
3/21/2015,46,0,35.5,25,0,0
3/22/2015,46,0,38,30,0,0
3/23/2015,46,0,36,26,0,0
3/24/2015,48,0,36.5,25,0,0
3/25/2015,47,0,37,27,0,0
3/26/2015,46,0,38.5,31,0,0
3/27/2015,48,0,41,34,0,0
3/28/2015,49,0,38.5,28,0,0
3/29/2015,42,0,36.5,31,0,0
3/30/2015,49,,40,31,0,0
3/31/2015,44,,37,30,0,0
4/1/2015,45,,38,31,0,0
4/2/2015,47,0,40,33,0,0
4/3/2015,48,0,40.5,33,0,0
4/4/2015,43,,34.5,26,,0
4/5/2015,41,0.01,36.5,32,0.5,0
4/6/2015,48,,41,34,0,0
4/7/2015,50,0.01,42.5,35,0,0
4/8/2015,41,0.2,37,33,1.7,
4/9/2015,44,,38,32,,0
4/10/2015,49,0.2,42,35,,0
4/11/2015,45,,37.5,30,,0
4/12/2015,45,0,37.5,30,0,0
4/13/2015,41,0,34.5,28,0,0
4/14/2015,39,0,32,25,0,0
4/15/2015,48,,41,34,0,0
4/16/2015,45,0.04,40.5,36,0,0
4/17/2015,49,0,42,35,0,0
4/18/2015,51,,44.5,38,0,0
4/19/2015,50,0.01,45.5,41,0,0
4/20/2015,42,0.17,37,32,2.2,0
4/21/2015,46,0.01,40,34,,2
4/22/2015,49,0,40,31,0,0
4/23/2015,49,0,38.5,28,0,0
4/24/2015,52,0,40.5,29,0,0
4/25/2015,54,0,43,32,0,0
4/26/2015,58,0,47,36,0,0
4/27/2015,55,,49.5,44,0,0
4/28/2015,56,0.01,48,40,0,0
4/29/2015,54,0.04,48,42,0,0
4/30/2015,51,0,44,37,0,0
5/1/2015,55,0,44,33,0,0
5/2/2015,60,0,46.5,33,0,0
5/3/2015,54,0,45,36,0,0
5/4/2015,57,0,45,33,0,0
5/5/2015,52,,44.5,37,0,0
5/6/2015,54,,43.5,33,0,0
5/7/2015,55,,48.5,42,0,0
5/8/2015,48,0.29,45.5,43,0,0
5/9/2015,56,0.02,50.5,45,0,0
5/10/2015,55,0,47.5,40,0,0
5/11/2015,57,,47.5,38,0,0
5/12/2015,62,0,53,44,0,0
5/13/2015,58,0,49,40,0,0
5/14/2015,58,,52.5,47,0,0
5/15/2015,59,,53,47,0,0
5/16/2015,59,,52,45,0,0
5/17/2015,58,0,48.5,39,0,0
5/18/2015,61,0,49,37,0,0
5/19/2015,56,0,49,42,0,0
5/20/2015,59,0,48.5,38,0,0
5/21/2015,62,0,52.5,43,0,0
5/22/2015,66,0,54.5,43,0,0
5/23/2015,54,0.22,50,46,0,0
5/24/2015,59,,53.5,48,0,0
5/25/2015,61,0.02,55,49,0,0
5/26/2015,58,0,52.5,47,0,0
5/27/2015,59,0,49,39,0,0
5/28/2015,63,0,53,43,0,0
5/29/2015,68,0,55.5,43,0,0
5/30/2015,71,0,58.5,46,0,0
5/31/2015,72,0,59.5,47,0,0
6/1/2015,69,,59.5,50,0,0
6/2/2015,59,0.4,55.5,52,0,0
6/3/2015,60,0.01,54.5,49,0,0
6/4/2015,54,0.01,51,48,0,0
6/5/2015,58,0.08,53,48,0,0
6/6/2015,59,,54,49,0,0
6/7/2015,60,0.02,54.5,49,0,0
6/8/2015,59,0.01,53,47,0,0
6/9/2015,55,0.09,50.5,46,0,0
6/10/2015,59,0.05,52.5,46,0,0
6/11/2015,60,0.04,54.5,49,0,0
6/12/2015,66,0,58,50,0,0
6/13/2015,72,0,61,50,0,0
6/14/2015,79,0,65,51,0,0
6/15/2015,83,0,68,53,0,0
6/16/2015,83,,72,61,0,0
6/17/2015,80,0,67,54,0,0
6/18/2015,78,0,66.5,55,0,0
6/19/2015,71,0,64,57,0,0
6/20/2015,65,0,59.5,54,0,0
6/21/2015,62,0,58.5,55,0,0
6/22/2015,68,0,60.5,53,0,0
6/23/2015,71,0,59.5,48,0,0
6/24/2015,74,0,62.5,51,0,0
6/25/2015,75,0,66.5,58,0,0
6/26/2015,64,0.13,59.5,55,0,0
6/27/2015,69,,62.5,56,0,0
6/28/2015,65,,60.5,56,0,0
6/29/2015,67,0.09,61,55,0,0
6/30/2015,68,0,60,52,0,0
7/1/2015,66,0,58,50,0,0
7/2/2015,62,,57,52,0,0
7/3/2015,75,0,63,51,0,0
7/4/2015,66,0.02,63.5,61,0,0
7/5/2015,76,,67.5,59,0,0
7/6/2015,81,,70,59,0,0
7/7/2015,68,0.21,62.5,57,0,0
7/8/2015,63,0.13,58.5,54,0,0
7/9/2015,65,0.02,59,53,0,0
7/10/2015,70,0,60.5,51,0,0
7/11/2015,73,,63,53,0,0
7/12/2015,73,0.05,65.5,58,0,0
7/13/2015,69,0.01,62.5,56,0,0
7/14/2015,70,,63,56,0,0
7/15/2015,69,0,60,51,0,0
7/16/2015,63,0.04,59.5,56,0,0
7/17/2015,63,0.36,59.5,56,0,0
7/18/2015,69,0,63,57,0,0
7/19/2015,73,0,62,51,0,0
7/20/2015,75,0,65.5,56,0,0
7/21/2015,71,0,62.5,54,0,0
7/22/2015,64,0.05,59,54,0,0
7/23/2015,71,0.09,63,55,0,0
7/24/2015,76,0,64,52,0,0
7/25/2015,70,0.67,63,56,0,0
7/26/2015,63,0.39,59,55,0,0
7/27/2015,67,,60.5,54,0,0
7/28/2015,68,0.1,62.5,57,0,0
7/29/2015,70,0.19,63.5,57,0,0
7/30/2015,70,0.04,63,56,0,0
7/31/2015,74,0,63.5,53,0,0
8/1/2015,78,0,66.5,55,0,0
8/2/2015,73,0,65,57,0,0
8/3/2015,79,0,66.5,54,0,0
8/4/2015,78,0,67.5,57,0,0
8/5/2015,73,0,63.5,54,0,0
8/6/2015,72,0,64.5,57,0,0
8/7/2015,77,0,66,55,0,0
8/8/2015,70,0,62,54,0,0
8/9/2015,64,0.31,61,58,0,0
8/10/2015,68,,62,56,0,0
8/11/2015,69,0,60,51,0,0
8/12/2015,71,0,59.5,48,0,0
8/13/2015,69,,58,47,0,0
8/14/2015,67,0,58.5,50,0,0
8/15/2015,60,0.15,54,48,0,0
8/16/2015,58,0.11,55.5,53,0,0
8/17/2015,60,0.28,56,52,0,0
8/18/2015,71,0.1,62.5,54,0,0
8/19/2015,68,,59.5,51,0,0
8/20/2015,66,0,56,46,0,0
8/21/2015,64,,56.5,49,0,0
8/22/2015,70,0,58,46,0,0
8/23/2015,69,0,59.5,50,0,0
8/24/2015,66,0,55.5,45,0,0
8/25/2015,67,,59,51,0,0
8/26/2015,61,0.03,58.5,56,0,0
8/27/2015,66,,57,48,0,0
8/28/2015,60,0,50.5,41,0,0
8/29/2015,56,0,48,40,0,0
8/30/2015,57,0,50,43,0,0
8/31/2015,59,0,50,41,0,0
9/1/2015,61,0,51.5,42,0,0
9/2/2015,63,0,49.5,36,0,0
9/3/2015,55,0.27,51.5,48,0,0
9/4/2015,55,0.09,51.5,48,0,0
9/5/2015,57,0.01,54,51,0,0
9/6/2015,59,,54.5,50,0,0
9/7/2015,61,0.28,56,51,0,0
9/8/2015,54,1.11,52.5,51,0,0
9/9/2015,62,0.06,56,50,0,0
9/10/2015,60,0.06,53,46,0,0
9/11/2015,52,0.05,47,42,0,0
9/12/2015,52,0.52,46,40,0,0
9/13/2015,54,0.08,46,38,0,0
9/14/2015,53,0.28,48.5,44,0,0
9/15/2015,53,0.94,49.5,46,0,0
9/16/2015,51,0.18,46,41,0,0
9/17/2015,45,0.61,42,39,0,0
9/18/2015,51,,42.5,34,0,0
9/19/2015,50,,42,34,0,0
9/20/2015,50,0,41,32,0,0
9/21/2015,53,0,43,33,0,0
9/22/2015,54,0,45,36,0,0
9/23/2015,49,0,40,31,0,0
9/24/2015,46,0,37,28,0,0
9/25/2015,47,,39.5,32,0,0
9/26/2015,43,0.27,39.5,36,0,0
9/27/2015,46,0.72,42.5,39,0,0
9/28/2015,52,0.42,48,44,0,0
9/29/2015,46,1.56,39.5,33,0.3,0
9/30/2015,43,0.19,37.5,32,2.5,1
10/1/2015,47,0,37.5,28,0,0
10/2/2015,46,0.15,41.5,37,0,0
10/3/2015,46,0.21,42,38,0,0
10/4/2015,47,,42.5,38,0,0
10/5/2015,48,0,43.5,39,0,0
10/6/2015,47,,41.5,36,0,0
10/7/2015,44,0.24,42,40,0,0
10/8/2015,51,0,46,41,0,0
10/9/2015,53,0.04,46.5,40,0,0
10/10/2015,50,0.03,44.5,39,0,0
10/11/2015,48,0.09,44.5,41,0,0
10/12/2015,49,0,41.5,34,0,0
10/13/2015,50,0.04,44,38,0,0
10/14/2015,46,0.04,41.5,37,0,0
10/15/2015,44,0.01,40,36,0,0
10/16/2015,42,0.2,41,40,0,0
10/17/2015,44,0.28,42,40,0,0
10/18/2015,44,0.36,42.5,41,0,0
10/19/2015,50,0.02,44,38,0,0
10/20/2015,46,,42,38,0,0
10/21/2015,45,0,37.5,30,0,0
10/22/2015,42,0,34.5,27,0,0
10/23/2015,41,,35,29,0,0
10/24/2015,47,0.01,42,37,0,0
10/25/2015,45,,38.5,32,0,0
10/26/2015,40,0,37.5,35,0,0
10/27/2015,44,0,38.5,33,0,0
10/28/2015,43,,39.5,36,0,0
10/29/2015,46,,38.5,31,0,0
10/30/2015,42,0.24,35.5,29,3.1,3
10/31/2015,33,0,26,19,,3
11/1/2015,29,,23.5,18,,3
11/2/2015,32,,29.5,27,,3
11/3/2015,34,0.06,30,26,1,3
11/4/2015,31,,25.5,20,,4
11/5/2015,34,,31,28,,3
11/6/2015,38,0,34.5,31,0,3
11/7/2015,37,0,29.5,22,0,2
11/8/2015,33,0.25,25,17,2.3,4
11/9/2015,38,0.03,32.5,27,0.3,5
11/10/2015,31,0.03,25.5,20,0.1,5
11/11/2015,30,0,24,18,0,5
11/12/2015,27,0,21.5,16,0,5
11/13/2015,22,0,15,8,0,5
11/14/2015,19,0,10,1,0,4
11/15/2015,10,,3.5,-3,,4
11/16/2015,6,0,0.5,-5,0,4
11/17/2015,7,,0,-7,,4
11/18/2015,3,,-2.5,-8,0.2,4
11/19/2015,17,0.15,9,1,2.2,6
